id,FalseSent,trueSent
11960,the man took a shower because he opened a new bar of soap,the man took a shower because he was sweaty from working out
11961,the screen of the laptop went black because it's warranty expired,the screen of the laptop went black because it's battery died
11962,the book became a unsalable and it was adapted into a movie,the book became a bestseller and it was adapted into a movie
11963,camila felt reluctant to switch careers when she endured a lot of stress currently,camila felt reluctant to switch careers when she made a lot of money currently
11964,the ocean tide was dangerous so the swimmers put on more sunscreen,the ocean tide was dangerous so the swimmers returned to a closer place
11965,minaj was deemed mentally ill so she sought a career as psychologist,minaj was deemed mentally ill so she was sent to a psychologist
11966,the aggressive football coach lost his voice before the game,the aggressive football coach lost his voice after the game
11967,I applied pressure to the cut on my arm and it healed,I applied pressure to the cut on my arm and it stopped bleeding
11968,leo had an infection so she washed her hands,leo had an infection so she took antibiotic
11969,the woman fanned herself with her hand for the air conditioner is new,the woman fanned herself with her hand for the air conditioner is broken
11970,the administrator cleared her throat because the meeting was postponed,the administrator cleared her throat because the meeting was commenced
11971,the boy giggled uncontrollably because his brother kicked him,the boy giggled uncontrollably because his brother tickled him
11972,the DJ turned the music on and everyone left the party,the DJ turned the music on and everyone began to dance
11973,I need some cash so I went to the wallet store,I need some cash so I went to the bank
11974,the boy played computer games to be muscular,the boy lifted weights to be muscular
11975,the milk stayed cold because I boiled it in the pot,the milk stayed cold because I kept it in the refrigerator
11976,fiona put the soup on ice cubes and it became thick,fiona put the soup on ice cubes and it cooled down
11977,the bully mocked him and he got a black eye,the bully punched him and he got a black eye
11978,the hunter ran out of ammunition and he aimed at the deer,the hunter ran out of ammunition and he reloaded the gun
11979,the man drank water with his meal because his meal was delicious,the man drank water with his meal because his meal was spicy
11980,the patient underwent the deadly medical procedure to recover,the patient underwent the risky medical procedure to recover
